// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Transporteers Hub
STATION;type;Reclaimed Goods Facility
STATION;owner;Binoak Dalewa
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;1
STATION;icon;transporteers.png
STATION;filename;sector_61_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-0-1-8-1-7-0-4-4-1-4-0-7-9-0-7-0-7-6-1-3-0
STATION;interior_seed;5-1-30-3
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;0.92;npc_ship_data_(recon_frigate_1).txt
MERC;2;1.40;npc_ship_data_(battle_shuttle_1).txt
MERC;1;1.63;npc_ship_data_(transport_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (1) Items ;8x37;10898;34025.59
BUYORDER;Market Shortage: (3) Items ;305x163,2x51,4x144;41361;14849.59
BUYORDER;Market Shortage: (2) Items ;5x133,7x67;20762;6010.75
BUYORDER;Market Items Req: (2) Items ;4x78,6x168;18606;84641.00
ITEM;1400;7;1.02
ITEM;1001;7;1.23
ITEM;1054;4;0.56
ITEM;1100;1;0.90
ITEM;1110;6;1.24
ITEM;1200;8;0.51
ITEM;1150;5;0.89
ITEM;1460;7;1.03
ITEM;1003;5;0.99
ITEM;1470;9;1.05
ITEM;1050;1;0.74
ITEM;1052;3;1.01
ITEM;1170;5;0.54
ITEM;1120;5;1.21
ITEM;1160;9;0.63
ITEM;1002;1;1.22
ITEM;1620;9;0.56
ITEM;1600;3;1.15
ITEM;1630;6;0.97
ITEM;1615;8;0.77
ITEM;1580;5;1.21
ITEM;1500;7;1.03
ITEM;1750;9;0.80
ITEM;1590;8;0.61
ITEM;1650;2;0.70
ITEM;1510;3;0.86
ITEM;1530;8;1.08
ITEM;1520;6;1.19
ITEM;1560;1;1.23
ITEM;1640;8;0.61
ITEM;1610;5;1.17
ITEM;1540;1;0.76
ITEM;1570;3;0.69
ITEM;1550;3;0.50
ITEM;2116;41;1.19
ITEM;2125;31;1.00
ITEM;2120;36;1.15
ITEM;2111;4;0.93
ITEM;42;36;0.55
ITEM;2131;23;0.69
ITEM;2117;37;0.80
ITEM;2121;24;1.21
ITEM;60;26;1.13
ITEM;2115;35;0.76
ITEM;53;11;1.02
ITEM;2127;28;1.23
