// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Inovex
STATION;type;Fabrication Plant
STATION;owner;Paxon Sipleskol
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;6
STATION;icon;inovex.png
STATION;filename;sector_71_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-1-1-2-8-0-7-1-7-7-3-3-1-6-7-2-7-0
STATION;interior_seed;3-4-0-8
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;False
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;1.76;npc_ship_data_(pirate_carrier_1).txt
MERC;4;1.70;npc_ship_data_(battle_cruiser_1).txt
MERC;5;1.75;npc_ship_data_(transport_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Sale Request Order: (2) Items ;219x92,1552x2;51034;49423.95

BUYORDER;Want to acquire (2) Items ;1055x1,1470x1;52263;26485.79
ITEM;1069;48;0.51
ITEM;1006;53;0.77
ITEM;1004;54;0.77
ITEM;1002;33;1.13
ITEM;1202;38;0.66
ITEM;1019;59;1.09
ITEM;1114;14;0.76
ITEM;1210;6;0.80
ITEM;1475;39;0.78
ITEM;1404;30;0.56
ITEM;1025;23;0.67
ITEM;1054;20;1.21
ITEM;1074;26;0.66
ITEM;1471;40;1.00
ITEM;1162;6;0.57
ITEM;1101;53;0.79
ITEM;1173;59;0.79
ITEM;1401;46;0.84
ITEM;1014;17;0.93
ITEM;1067;6;0.84
ITEM;1123;27;1.20
ITEM;1154;25;1.10
ITEM;1013;42;0.65
ITEM;1772;39;0.98
ITEM;1711;43;0.57
ITEM;1540;48;1.06
ITEM;1611;15;0.92
ITEM;1651;30;0.73
ITEM;1523;3;1.14
ITEM;1510;33;0.82
ITEM;1581;44;1.20
ITEM;1777;16;1.18
ITEM;1730;51;1.03
ITEM;1642;25;0.62
ITEM;1721;9;1.04
ITEM;1761;46;0.81
ITEM;1571;5;0.59
ITEM;1765;37;0.92
ITEM;1601;39;0.52
ITEM;1500;35;0.89
ITEM;1520;6;0.75
ITEM;1640;58;1.19
ITEM;1503;23;1.21
ITEM;1614;24;0.73
ITEM;1634;45;1.19
